profile,condition,metric,metric_tier,direction,n_seeds,mean,ci_lo,ci_hi
custom3,ql_true,auc_goal,primary,higher_better,10,0.16203120312031202,0.12098497349734973,0.20787166216621658
custom3,ql_true,auc_reward,secondary,higher_better,10,148.20813581358135,139.5070820832083,156.84782215721572
custom3,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,10000.0,10000.0,10000.0
custom3,ql_true,mean_first_goal,secondary,lower_better,10,2718.522347999291,2420.0881396604136,2995.3186776176954
custom3,ql_false,auc_goal,primary,higher_better,10,0.08947894789478947,0.07762776277627763,0.10043004300430043
custom3,ql_false,auc_reward,secondary,higher_better,10,128.86832683268327,123.80883638363835,133.7577100210021
custom3,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,10000.0,10000.0,10000.0
custom3,ql_false,mean_first_goal,secondary,lower_better,10,1913.4759603698108,1696.9869125653213,2110.7731260832725
custom5,ql_true,auc_goal,primary,higher_better,10,0.0872837283728373,0.07717771777177718,0.09826995199519953
custom5,ql_true,auc_reward,secondary,higher_better,10,114.26242624262427,105.22251225122514,123.3918394339434
custom5,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,10000.0,10000.0,10000.0
custom5,ql_true,mean_first_goal,secondary,lower_better,10,1858.820862992081,1670.1151978148748,2054.538853313098
custom5,ql_false,auc_goal,primary,higher_better,10,0.04674467446744675,0.0336031103110311,0.062006450645064506
custom5,ql_false,auc_reward,secondary,higher_better,10,115.87463746374638,112.974251550155,118.67968684368437
custom5,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,10000.0,10000.0,10000.0
custom5,ql_false,mean_first_goal,secondary,lower_better,10,1739.618061776062,1606.4343043875042,1871.7678794664796
custom9,ql_true,auc_goal,primary,higher_better,10,0.10796079607960796,0.08892889288928893,0.12796379637963792
custom9,ql_true,auc_reward,secondary,higher_better,10,121.11175617561757,116.00114348934893,125.90973584858484
custom9,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,10000.0,10000.0,10000.0
custom9,ql_true,mean_first_goal,secondary,lower_better,10,1915.4003323506265,1834.3184898350908,1983.7074036867593
custom9,ql_false,auc_goal,primary,higher_better,10,0.16967196719671968,0.15225522552255227,0.18636363636363634
custom9,ql_false,auc_reward,secondary,higher_better,10,148.0579307930793,143.72385401040103,152.16985373537352
custom9,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,10000.0,10000.0,10000.0
custom9,ql_false,mean_first_goal,secondary,lower_better,10,1798.299689472257,1733.0657089889037,1869.503897688676
