StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,-50.00,0.00,-50.00,22.50,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,22.50,0.00
1,-50.00,0.00,-50.00,22.50,-50.00,0.00,-50.00,-50.00,-50.00,22.50,-50.00,22.50,0.00
2,-50.00,0.00,-50.00,22.50,-50.00,0.00,-50.00,-50.00,-50.00,22.50,-50.00,22.50,0.00
3,-50.00,0.00,-50.00,22.50,-50.00,0.00,-50.00,-50.00,-50.00,22.50,-50.00,22.50,0.00
4,0.00,-50.00,-50.00,22.50,-50.00,-50.00,-50.00,0.00,-50.00,-50.00,-50.00,22.50,0.00
5,0.00,-50.00,-50.00,22.50,-50.00,0.00,-50.00,0.00,-50.00,22.50,-50.00,22.50,0.00
6,0.00,-50.00,-50.00,22.50,-50.00,0.00,-50.00,0.00,-50.00,22.50,-50.00,22.50,0.00
7,0.00,-50.00,-50.00,22.50,-50.00,0.00,-50.00,0.00,-50.00,22.50,-50.00,22.50,0.00
8,-50.00,0.00,0.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,22.50,0.00
9,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,-50.00,22.50,-50.00,22.50,0.00
10,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,-50.00,22.50,-50.00,22.50,0.00
11,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,-50.00,22.50,-50.00,22.50,0.00
12,0.00,-50.00,0.00,-50.00,-50.00,-50.00,-50.00,0.00,-50.00,-50.00,-50.00,22.50,0.00
13,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,22.50,-50.00,22.50,0.00
14,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,22.50,-50.00,22.50,0.00
15,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,22.50,-50.00,22.50,0.00
16,-50.00,0.00,-50.00,22.50,-50.00,-50.00,-50.00,-50.00,0.00,-50.00,-50.00,22.50,0.00
17,-50.00,0.00,-50.00,22.50,-50.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,22.50,0.00
18,-50.00,0.00,-50.00,22.50,-50.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,22.50,0.00
19,-50.00,0.00,-50.00,22.50,-50.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,22.50,0.00
20,0.00,-50.00,-50.00,22.50,-50.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,22.50,0.00
21,0.00,-50.00,-50.00,22.50,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,22.50,0.00
22,0.00,-50.00,-50.00,22.50,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,22.50,0.00
23,0.00,-50.00,-50.00,22.50,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,22.50,0.00
24,-50.00,0.00,0.00,-50.00,-50.00,-50.00,-50.00,-50.00,0.00,-50.00,-50.00,22.50,0.00
25,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,22.50,0.00
26,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,22.50,0.00
27,-50.00,0.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,-50.00,22.50,0.00
28,0.00,-50.00,0.00,-50.00,-50.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,22.50,0.00
29,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,22.50,0.00
30,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,22.50,0.00
31,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,22.50,0.00
32,-50.00,0.00,-50.00,22.50,0.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,22.50,0.00
33,-50.00,0.00,-50.00,22.50,0.00,-50.00,-50.00,-50.00,-50.00,22.50,-50.00,22.50,0.00
34,-50.00,0.00,-50.00,22.50,0.00,-50.00,-50.00,-50.00,-50.00,22.50,-50.00,22.50,0.00
35,-50.00,0.00,-50.00,22.50,0.00,-50.00,-50.00,-50.00,-50.00,22.50,-50.00,22.50,0.00
36,0.00,-50.00,-50.00,22.50,0.00,-50.00,-50.00,0.00,-50.00,-50.00,-50.00,22.50,0.00
